id,name,industry,job_role,skills,primary_skill,experience_years,experience_level,interests,primary_interest
user_1,Professional_1,Data Science,Designer,"TensorFlow, Machine Learning",TensorFlow,18,Senior,AI,AI
user_2,Professional_2,Marketing,Data Analyst,"HubSpot, Content Marketing, SEO",HubSpot,11,Senior,"Cloud Computing, EdTech",Cloud Computing
user_3,Professional_3,Data Science,Backend Developer,"Python, Machine Learning, Statistics, TensorFlow",Python,2,Entry,Open Source,Open Source
user_4,Professional_4,Technology,Data Analyst,"Node.js, React, Docker",Node.js,14,Senior,"Open Source, EdTech",Open Source
user_5,Professional_5,Finance,ML Engineer,"Python, Excel, Financial Modeling",Python,17,Senior,"AI, Leadership",AI
user_6,Professional_6,Data Science,ML Engineer,"SQL, R, Statistics",SQL,12,Senior,"Open Source, Startups",Open Source
user_7,Professional_7,Marketing,Software Engineer,"Content Marketing, Google Analytics",Content Marketing,7,Mid,"Cloud Computing, Leadership",Cloud Computing
user_8,Professional_8,Technology,DevOps Engineer,"AWS, Docker, React",AWS,7,Mid,"Blockchain, FinTech",Blockchain
user_9,Professional_9,Healthcare,Software Engineer,"R, Python, SQL, Clinical Research",R,13,Senior,Leadership,Leadership
user_10,Professional_10,Data Science,Business Analyst,"SQL, Python",SQL,6,Mid,Cloud Computing,Cloud Computing
user_11,Professional_11,Healthcare,Data Scientist,"SQL, SPSS, Clinical Research",SQL,5,Mid,"Startups, AI",Startups
user_12,Professional_12,Cybersecurity,Backend Developer,"Kali Linux, Python, Penetration Testing, Network Security",Kali Linux,0,Entry,Cloud Computing,Cloud Computing
user_13,Professional_13,Healthcare,Business Analyst,"SQL, R, Health Informatics",SQL,18,Senior,"Open Source, Cloud Computing",Open Source
user_14,Professional_14,Technology,Backend Developer,"AWS, Docker, Node.js",AWS,16,Senior,Leadership,Leadership
user_15,Professional_15,Cybersecurity,Software Engineer,"Kali Linux, Network Security",Kali Linux,11,Senior,"Cloud Computing, AI",Cloud Computing
user_16,Professional_16,Data Science,Data Scientist,"SQL, Python",SQL,15,Senior,"Open Source, Leadership",Open Source
user_17,Professional_17,Education,Designer,"Data Analysis, Curriculum Design, Communication, Python",Data Analysis,19,Senior,"Leadership, Cloud Computing",Leadership
user_18,Professional_18,Cybersecurity,Software Engineer,"Penetration Testing, Python, Kali Linux, Network Security",Penetration Testing,9,Senior,Startups,Startups
user_19,Professional_19,Technology,DevOps Engineer,"Java, Node.js",Java,15,Senior,"Cloud Computing, Leadership",Cloud Computing
user_20,Professional_20,Cybersecurity,Designer,"Network Security, Kali Linux, Penetration Testing",Network Security,2,Entry,Startups,Startups
user_21,Professional_21,Cybersecurity,Frontend Developer,"Penetration Testing, Kali Linux",Penetration Testing,15,Senior,"Open Source, Cloud Computing",Open Source
user_22,Professional_22,Education,Product Manager,"Curriculum Design, Communication, LMS",Curriculum Design,1,Entry,Startups,Startups
user_23,Professional_23,Healthcare,Designer,"SPSS, Health Informatics, Python, SQL",SPSS,13,Senior,Cloud Computing,Cloud Computing
user_24,Professional_24,Design,DevOps Engineer,"Adobe XD, CSS, HTML, Figma",Adobe XD,0,Entry,"Open Source, Blockchain",Open Source
user_25,Professional_25,Healthcare,ML Engineer,"Clinical Research, Health Informatics, SQL",Clinical Research,1,Entry,"Blockchain, Open Source",Blockchain
